2.112 0
1.78593 0.32607
1.54342 0.307005
1.49265 0.222943
1.60382 0.205379
1.63392 0.170371
1.57588 0.155246
1.53023 0.141987
1.59718 0.141998
1.60711 0.127394
1.6276 0.117041
1.60561 0.109084
1.64992 0.109692
1.69967 0.113087
1.66842 0.109818
1.6395 0.106721
1.67401 0.106023
1.6833 0.10039
1.6838 0.0949606
1.73323 0.102757
1.71564 0.0993111
1.69141 0.0977395
1.71252 0.0957485
1.70715 0.0918294
1.67857 0.0926007
1.68141 0.0890131
1.67286 0.0860782
1.66202 0.0836525
1.63798 0.0842209
1.6416 0.0814458
1.66107 0.081144
1.66606 0.0787255
1.66324 0.0763546
1.66424 0.0740817
1.65894 0.0721293
1.65281 0.0703646
1.63361 0.071079
1.62527 0.0696842
1.61638 0.0684529
1.60888 0.0671397
1.60962 0.0654859
1.60934 0.0639083
1.60422 0.0626144
1.6038 0.0611763
1.61038 0.0601628
1.6037 0.0592182
1.60522 0.0579643
1.59603 0.0574828
1.60465 0.056953
1.59711 0.0563089
1.59145 0.0554833
1.58021 0.0555555
1.59163 0.0556807
1.583 0.0553164
1.59619 0.055881
1.5887 0.055384
1.59181 0.0544925
1.58807 0.053675
1.58511 0.0528406
1.57692 0.0525935
1.57505 0.0517578
1.57103 0.051075
1.57042 0.0502614
1.57002 0.0494715
1.57129 0.0487209
1.5768 0.048293
1.58689 0.0486243
1.58097 0.0482683
1.58299 0.0476068
1.59391 0.048174
1.60078 0.0479852
1.60227 0.0473375
1.5935 0.0475002
1.59451 0.0468647
1.59608 0.0462623
1.61418 0.0491073
1.60411 0.0495007
1.60709 0.0489526
1.60592 0.0483431
1.60187 0.0479065
1.62151 0.0512252
1.61329 0.0512596
1.60913 0.0508087
1.61121 0.0502433
1.60674 0.0498497
1.60146 0.0495491
1.59581 0.0493012
1.59546 0.0487389
1.59971 0.0483748
1.60135 0.0478623
1.60395 0.0474047
1.59927 0.0471196
1.60582 0.0470688
1.60836 0.0466347
1.60414 0.0463342
1.60341 0.0458548
1.60077 0.0454562
1.60024 0.0449932
1.59983 0.0445382
1.60031 0.0440932
