0.35 0.0123251 0.00613628
0.5 0.295097 0.0111081
0.6 0.403888 0.00724019
0.7 0.419571 0.00723147
0.8 0.444499 0.0054046
0.9 0.437766 0.00420258
1 0.416299 0.0034647
1.1 0.393192 0.00325093
1.2 0.366669 0.00220622
1.3 0.343559 0.00187297
1.4 0.314164 0.00190225
1.5 0.289945 0.00149289
1.6 0.268433 0.00147133
1.7 0.247052 0.001319
1.8 0.231329 0.00109282
1.9 0.212908 0.00103354
2 0.197262 0.000861815
2.2 0.167757 0.000792162
2.5 0.137273 0.000604254
2.7 0.120387 0.000604726
3 0.0998912 0.000508782
